ID,Publisher,Genre,Global_Sales
16574.0,Prototype,Adventure,0.01
16570.0,Namco Bandai Games,Action,0.01
16569.0,Trion Worlds,Strategy,0.01
16568.0,Rain Games,Platform,0.01
16563.0,5pb,Adventure,0.01
16560.0,Nitroplus,Adventure,0.01
16556.0,N/A,Role-Playing,0.2
16551.0,Idea Factory,Action,0.01
16549.0,Quinrose,Action,0.01
16545.0,Nintendo,Misc,0.01
16538.0,Namco Bandai Games,Action,0.01
16531.0,Tecmo Koei,Adventure,0.13
16529.0,Alchemist,Adventure,0.01
16519.0,CyberFront,Misc,0.01
16515.0,UFO Interactive,Puzzle,0.01
16510.0,Quinrose,Adventure,0.01
16503.0,Quinrose,Adventure,0.01
16502.0,HuneX,Action,0.01
16498.0,Asgard,Action,0.01
16497.0,N/A,Puzzle,0.01
16488.0,Broccoli,Action,0.01
16485.0,Namco Bandai Games,Fighting,0.01
16483.0,5pb,Simulation,0.01
16480.0,Idea Factory,Action,0.01
16473.0,Idea Factory,Misc,0.06
16463.0,Unknown,Action,0.01
16459.0,Nintendo,Misc,0.01
16454.0,Views,Adventure,0.01
16446.0,Quinrose,Adventure,0.01
16438.0,Arc System Works,Adventure,0.01
16433.0,ASCII Media Works,Adventure,0.01
16428.0,5pb,Adventure,0.02
16426.0,imageepoch Inc.,Adventure,0.01
16414.0,Activision,Action,0.01
16413.0,Namco Bandai Games,Fighting,0.01
16410.0,Namco Bandai Games,Fighting,0.01
16383.0,Kadokawa Games,Action,0.01
16372.0,Quinrose,Adventure,0.03
16366.0,Bethesda Softworks,Action,0.01
16364.0,Focus Home Interactive,Strategy,0.01
16363.0,Idea Factory,Adventure,0.01
16352.0,Otomate,Adventure,0.01
16330.0,Namco Bandai Games,Shooter,0.14
16329.0,Square Enix,Role-Playing,0.01
16325.0,Idea Factory,Adventure,0.01
16320.0,Success,Adventure,0.01
16319.0,Quinrose,Adventure,0.01
16318.0,Idea Factory,Adventure,0.01
16314.0,Funbox Media,Strategy,0.01
16306.0,Kadokawa Games,Action,0.01
16305.0,Ubisoft,Puzzle,0.01
16304.0,Avanquest Software,Action,0.01
16303.0,NetRevo,Action,0.01
16301.0,Nitroplus,Fighting,0.05
16292.0,Ascaron Entertainment,Strategy,0.01
16289.0,Unknown,Strategy,0.01
16288.0,Yeti,Action,0.01
16277.0,Focus Home Interactive,Action,0.01
16275.0,5pb,Adventure,0.07
16271.0,GungHo,Action,0.01
16269.0,Minato Station,Adventure,0.01
16253.0,Capcom,Platform,0.01
16243.0,Arc System Works,Role-Playing,0.01
16226.0,5pb,Adventure,0.01
16219.0,Marvelous Entertainment,Action,0.01
16218.0,Namco Bandai Games,Action,0.01
