ID,Year,Name
16574.0,2013.0,Grisaia no Kajitsu: La Fruit de la Grisaia
16570.0,2014.0,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party
16569.0,2012.0,End of Nations
16568.0,2015.0,Teslagrad
16563.0,2014.0,Hanasaku Manimani
16560.0,2014.0,Dramatical Murder Re:code
16556.0,2014.0,Bound By Flame
16551.0,2015.0,Hakuoki: Reimeiroku - Omouhase Kara
16549.0,2012.0,Hyakki Yagyou Kaidan Romance
16545.0,2015.0,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack
16538.0,2013.0,Mushi Bugyou
16531.0,2015.0,Kiniro no Corda 3
16529.0,2013.0,Onigokko! Portable
16519.0,2012.0,DJ Max Technika Tune
16515.0,2012.0,Balloon Pop 2
16510.0,2013.0,Romeo Vs. Juliet
16503.0,2014.0,Satomi Hakkenden: Hachi Tamanoki
16502.0,2015.0,Irotoridori no Sekai: World's End Re-Birth
16498.0,2012.0,Unending Bloody Call
16497.0,2014.0,Legends of Oz: Dorothy's Return
16488.0,2012.0,Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!
16485.0,2012.0,Dragon Ball Z for Kinect
16483.0,2012.0,Muv-Luv Alternative
16480.0,2015.0,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki"
16473.0,2014.0,Amnesia Later
16463.0,2015.0,"Horse Life 4: My Horse, My Friend, My Champion"
16459.0,2015.0,Art Academy: Home Studio
16454.0,2014.0,Shin Koihime Musou: Otome Taisen * Sangokushi Engi
16446.0,2014.0,Heart no Kuni no Alice: Wonderful Twin World
16438.0,2013.0,Getsuei Gakuen: kou
16433.0,2014.0,Golden Time: Vivid Memories
16428.0,2012.0,Akatsuki no Goei Trinity
16426.0,2014.0,SoniPro
16414.0,2013.0,Teenage Mutant Ninja Turtles (3DS)
16413.0,2014.0,"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!"
16410.0,2012.0,Saint Seiya Omega: Ultimate Cosmo
16383.0,2014.0,Fate/kaleid liner Prisma Illya
16372.0,2012.0,Arabians Lost: The Engagement on Desert
16366.0,2015.0,Fallout Anthology
16364.0,2015.0,Act of Aggression
16363.0,2013.0,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta
16352.0,2013.0,Natsuzora no Monologue
16330.0,2012.0,Inversion
16329.0,2015.0,Dragon Quest X: All in One Package
16325.0,2014.0,Binary Star
16320.0,2014.0,Touch Detective 3: Does Funghi Dream of Bananas?
16319.0,2013.0,Daiya no Kuni no Alice: Wonderful Mirror World
16318.0,2012.0,Gakuen Hetalia
16314.0,2015.0,Space Hulk
16306.0,2015.0,Durarara!! Relay
16305.0,2014.0,Tetris Ultimate
16304.0,2013.0,Fireman Sam: Action Stations
16303.0,2012.0,Tsuyo Kiss 3 Portable
16301.0,2015.0,Nitroplus Blasterz: Heroines Infinite Duel
16292.0,2012.0,The Train Giant
16289.0,2015.0,War for the Overworld
16288.0,2012.0,Root Double: Before Crime After Days
16277.0,2015.0,Farming Simulator 15 Expansion Pack
16275.0,2014.0,Chaos;Head Noah
16271.0,2012.0,Dokuro
16269.0,2015.0,Kurogane Kaikitan
16253.0,2014.0,Strider (2014)
16243.0,2013.0,Seisou no Amazones
16226.0,2013.0,Nyaruko-San: Nafushigatai Game no You na Mono
16219.0,2014.0,Bakumatsu Rock
16218.0,2014.0,Tsukigime Ranko's Longest Day
16217.0,2012.0,Bunmei Kaika: Aoiza Ibunroku Saien
16208.0,2013.0,Caladrius
16207.0,2014.0,Ro-Kyu-Bu! Secret Photo Op
16205.0,2012.0,Hakuoki: Reimeiroku DS
16203.0,2015.0,Hyakka Yakou
16194.0,2015.0,Homeworld Remastered Collection
16192.0,2013.0,Sonic & All-Stars Racing Transformed
16186.0,2013.0,Sakura-Sou no Pet na Kanojo
16185.0,2013.0,Princess Arthur
16177.0,2012.0,We Sing 80s
16172.0,2014.0,Hanayamata: Yosakoi Live
16168.0,2012.0,Ouka Sengoku Portable
16164.0,2014.0,htoL#NiQ: The Firefly Diary
16158.0,2013.0,Isshoni Gohan. Portable
16149.0,2015.0,Fuuraiki 3
16148.0,2012.0,Mystery Legends: Beauty and the Beast
16142.0,2015.0,Norn + Nonette: Last Era
16134.0,2014.0,Geten no Hana: Yume Akari
16124.0,2012.0,Turbo Trainz
16122.0,2015.0,Hitotsu Tobashi Renai V
16117.0,2014.0,Psycho-Pass
16115.0,2013.0,1/2 Summer +
16113.0,2013.0,DoDonPachi Saidaioujou
16112.0,2015.0,Paranormal Pursuit: The Gifted One
16110.0,2014.0,Marginal #4: Idol of Supernova
16102.0,2014.0,Rewrite
16099.0,2012.0,Miyako: Awayuki no Utage
16084.0,2012.0,Pro Angler Moves
16078.0,2015.0,Infinite Stratos 2: Love and Purge
16075.0,2015.0,Sousaku Alice to Oujisama!
16067.0,2015.0,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki
16052.0,2012.0,Abunai: Koi no Sousa Shitsu
16046.0,2015.0,Raven's Cry
16035.0,2014.0,Shinobi Koutsutsu
16017.0,2012.0,Nobunaga no Yabou Online: Houou no Shou
16010.0,2014.0,Demon Gaze 2
15981.0,2015.0,Meiji Toukyou Renka: Twilight Kiss
15976.0,2012.0,Vitamin X: Detective B6
15972.0,2015.0,Sid Meier's Civilization Revolution 2+
15970.0,2012.0,Dream C Club
15967.0,2012.0,Curse of the Amsterdam Diamond
15964.0,2014.0,Farming Simulator 2014
15956.0,2015.0,Girl Friend Beta: Kimi to Sugosu Natsuyasumi
15950.0,2013.0,Accel World: Kasoku no Chouten
15948.0,2014.0,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia
15946.0,2013.0,Tiger & Bunny: Hero's Day
15935.0,2015.0,I Doll U
15929.0,2012.0,Storm Lover Kai!!
15928.0,2015.0,Professional Farmer 2016
15926.0,2014.0,Pillars of Eternity
15925.0,2012.0,Gaku ? Ou: The Royal Seven Stars
15911.0,2014.0,Adventure Time: The Secret of the Nameless
15910.0,2015.0,Saenai Kanojo no Sodatekata: Blessing Flowers
15900.0,2015.0,The Sims 4: Luxury Party Stuff
15884.0,2014.0,Kiss Bell
15866.0,2014.0,Gaist Crusher God
15864.0,2013.0,Arcana Famiglia 2
15863.0,2013.0,Contrast
15860.0,2014.0,Kadenz fermata//Akkord:fortissimo
15859.0,2013.0,Storm Lover 2nd
15849.0,2015.0,Psychedelica of the Black Butterfly
15847.0,2013.0,White Album 2: Shiawase no Mukougawa
15842.0,2014.0,Dream C Club: GoGo
15832.0,2014.0,Phoenix Wright: Ace Attorney Trilogy
15825.0,2012.0,Ore wa Shoujo Mangaka
15813.0,2012.0,Custom Drive
15796.0,2015.0,Kaleidoeve
15783.0,2015.0,Reine des Fleurs
15774.0,2015.0,Root Infinity Rexx
15772.0,2015.0,Clock Zero: Shuuen no Ichibyou - ExTime
15757.0,2012.0,L.G.S: Shinsetsu Houshinengi
15743.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4
15735.0,2012.0,Elkrone no Atelier: Dear for Otomate
15724.0,2013.0,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar"
15714.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3
15712.0,2013.0,Ultraman Star Chronicles
15694.0,2015.0,Prince of Stride
15692.0,2014.0,Robotics;Notes
15679.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2
15667.0,2014.0,Rabbids Invasion: The Interactive TV Show
15646.0,2012.0,Seinaru Kana: Orichalcum no Na no Motoni
15644.0,2014.0,Grisaia no Rakuen: Le Eden de la Grisaia
15637.0,2012.0,Kimikare: New Semester
