id_number,publisher_name,genre,global_sales
16574,Prototype,Adventure,0.01
16570,Namco Bandai Games,Action,0.01
16569,Trion Worlds,Strategy,0.01
16568,Rain Games,Platform,0.01
16563,5pb,Adventure,0.01
16560,Nitroplus,Adventure,0.01
16556,N/A,Role-Playing,0.2
16551,Idea Factory,Action,0.01
16549,Quinrose,Action,0.01
16545,Nintendo,Misc,0.01
16538,Namco Bandai Games,Action,0.01
16531,Tecmo Koei,Adventure,0.13
16529,Alchemist,Adventure,0.01
16519,CyberFront,Misc,0.01
16515,UFO Interactive,Puzzle,0.01
16510,Quinrose,Adventure,0.01
16503,Quinrose,Adventure,0.01
16502,HuneX,Action,0.01
16498,Asgard,Action,0.01
16497,N/A,Puzzle,0.01
16488,Broccoli,Action,0.01
16485,Namco Bandai Games,Fighting,0.01
16483,5pb,Simulation,0.01
16480,Idea Factory,Action,0.01
16473,Idea Factory,Misc,0.06
16463,Unknown,Action,0.01
16459,Nintendo,Misc,0.01
16454,Views,Adventure,0.01
16446,Quinrose,Adventure,0.01
16438,Arc System Works,Adventure,0.01
16433,ASCII Media Works,Adventure,0.01
16428,5pb,Adventure,0.02
16426,imageepoch Inc.,Adventure,0.01
16414,Activision,Action,0.01
16413,Namco Bandai Games,Fighting,0.01
16410,Namco Bandai Games,Fighting,0.01
16383,Kadokawa Games,Action,0.01
16372,Quinrose,Adventure,0.03
16366,Bethesda Softworks,Action,0.01
16364,Focus Home Interactive,Strategy,0.01
16363,Idea Factory,Adventure,0.01
16352,Otomate,Adventure,0.01
16330,Namco Bandai Games,Shooter,0.14
16329,Square Enix,Role-Playing,0.01
16325,Idea Factory,Adventure,0.01
16320,Success,Adventure,0.01
16319,Quinrose,Adventure,0.01
16318,Idea Factory,Adventure,0.01
16314,Funbox Media,Strategy,0.01
16306,Kadokawa Games,Action,0.01
16305,Ubisoft,Puzzle,0.01
16304,Avanquest Software,Action,0.01
16303,NetRevo,Action,0.01
16301,Nitroplus,Fighting,0.05
16292,Ascaron Entertainment,Strategy,0.01
16289,Unknown,Strategy,0.01
16288,Yeti,Action,0.01
16277,Focus Home Interactive,Action,0.01
16275,5pb,Adventure,0.07
16271,GungHo,Action,0.01
16269,Minato Station,Adventure,0.01
16253,Capcom,Platform,0.01
16243,Arc System Works,Role-Playing,0.01
16226,5pb,Adventure,0.01
16219,Marvelous Entertainment,Action,0.01
16218,Namco Bandai Games,Action,0.01
16217,FuRyu,Action,0.01
16208,Moss,Shooter,0.01
16207,Kadokawa Games,Adventure,0.01
16205,Idea Factory,Action,0.01
16203,Unknown,Action,0.01
16194,N/A,Strategy,0.01
16192,Sega,Racing,2.48
